,region,file_name,treeID,Model,point2tree_area,voxel_volume,convex_hull_volume,voxel_area,Iteration,point2tree_volume,Recon_iter,Precision,Recall,F1 Score,graham_volume,graham_Area,convex_hull_area,density_points_per_m2,num_point,bounding_box_area_m2,file
62,NIBIO,./NIBIO/plot_10_annotated.las,18,tree_64,18.51808661,51.008,183.0899222,18.76,3400,78.49039914,3400,0.886306476,0.56342,0.688906222,102.5115571,13.7795506,20.3746,1164.812436,33001,28.3316,plot_10_annotated.las
63,NIBIO,./NIBIO/plot_10_annotated.las,19,tree_65,34.37476453,92.696,264.8585862,30.52,3400,175.3503537,3400,0.90096,0.68686,0.779475489,125.5374004,13.48624955,33.03905,2077.412707,100000,48.1368,plot_10_annotated.las
64,NIBIO,./NIBIO/plot_10_annotated.las,21,tree_66,15.42861007,32.216,79.225798,15.68,3400,43.40515858,3400,0.935842601,0.7063,0.805028295,52.88375513,12.15519983,15.44495,1384.742952,29225,21.105,plot_10_annotated.las
65,NIBIO,./NIBIO/plot_10_annotated.las,22,tree_67,12.12135768,26.536,58.45059367,12.64,3400,29.31215907,3400,0.970438981,0.87122,0.91815679,28.02408804,7.867800314,15.1114,1704.047922,40594,23.8221,plot_10_annotated.las
66,NIBIO,./NIBIO/plot_10_annotated.las,23,tree_68,6.476974114,12.432,26.8758185,7.2,3400,11.24362532,3400,0.97731097,0.87246,0.92191384,10.67624268,2.954350135,7.137449999,1860.27021,18423,9.903399999,plot_10_annotated.las
67,NIBIO,./NIBIO/plot_10_annotated.las,24,tree_69,5.250867997,13.592,21.506397,6.6,3400,10.80781701,3400,0.970664529,0.95579,0.96316984,11.67846977,4.331449885,6.62935,2513.394974,21203,8.436,plot_10_annotated.las
68,NIBIO,./NIBIO/plot_10_annotated.las,25,tree_70,18.58508189,59.456,163.3912133,16.24,3400,102.7745096,3400,0.914196036,0.64203,0.754313663,83.63138498,10.51825014,16.4806,2518.588452,55755,22.1374,plot_10_annotated.las
69,NIBIO,./NIBIO/plot_10_annotated.las,26,tree_71,11.85754798,25.624,78.6009785,12.24,3400,31.43176179,3400,0.939623991,0.7009,0.802892806,34.64437504,8.712499972,12.53575,1368.713108,25159,18.3815,plot_10_annotated.las
70,NIBIO,./NIBIO/plot_10_annotated.las,27,tree_72,14.66800015,38.96,101.6463113,14.64,3400,52.24051545,3400,0.941789424,0.64966,0.768912801,53.37621514,9.592400602,14.6886,1297.108341,29462,22.7136,plot_10_annotated.las
71,NIBIO,./NIBIO/plot_11_annotated.las,1,tree_73,32.71401809,114.976,407.3116325,31.04,3400,261.5981902,3400,0.7407,0.45695,0.565211648,212.6695433,23.06895007,31.74595,2456.036939,100000,40.716,plot_11_annotated.las
72,NIBIO,./NIBIO/plot_11_annotated.las,2,tree_74,10.25546353,43.44,69.93899333,10.56,3400,48.51453707,3400,0.96682,0.83899,0.898380574,45.37855967,7.648650124,10.0504,6744.543664,100000,14.8268,plot_11_annotated.las
73,NIBIO,./NIBIO/plot_11_annotated.las,3,tree_75,20.19904752,71.664,149.0888275,17.36,3400,123.2139292,3400,0.94002,0.72899,0.82116366,91.66532161,11.6370498,17.65865,3841.839165,100000,26.0292,plot_11_annotated.las
74,NIBIO,./NIBIO/plot_11_annotated.las,4,tree_76,10.31572326,33.064,63.94171534,10.64,3400,35.86518653,3400,0.966604364,0.79912,0.874918979,37.14062001,6.306350131,10.65315,3394.711625,52432,15.4452,plot_11_annotated.las
75,NIBIO,./NIBIO/plot_11_annotated.las,5,tree_77,20.21187988,72.712,187.8979162,19.04,3400,108.1843166,3400,0.87771,0.64996,0.746858146,95.36062861,13.96994946,19.9769,3921.199573,100000,25.5024,plot_11_annotated.las
76,NIBIO,./NIBIO/plot_11_annotated.las,6,tree_78,25.49603482,72.552,200.4793078,21.0,3400,153.4526725,3400,0.88937,0.60807,0.722298344,116.9763496,15.31689993,21.8541,3259.112478,100000,30.6832,plot_11_annotated.las
77,NIBIO,./NIBIO/plot_11_annotated.las,7,tree_79,26.83226094,75.872,172.3627992,22.84,3400,154.7302949,3400,0.9062,0.59967,0.721736875,118.3855825,20.42684968,24.36235,3023.413313,100000,33.0752,plot_11_annotated.las
78,NIBIO,./NIBIO/plot_11_annotated.las,8,tree_80,28.38823013,83.672,202.8954865,24.04,3400,182.4557674,3400,0.90133,0.6105,0.727941587,130.5759853,19.03859988,25.75185,3037.002843,100000,32.9272,plot_11_annotated.las
79,NIBIO,./NIBIO/plot_11_annotated.las,9,tree_81,9.605828676,39.432,70.19160601,9.64,3400,42.23531959,3400,0.965602272,0.83412,0.895058287,41.8183902,6.269899984,9.722250002,5706.685007,72185,12.6492,plot_11_annotated.las
80,NIBIO,./NIBIO/plot_11_annotated.las,10,tree_82,6.167486046,22.376,44.26628016,7.28,3400,20.92196189,3400,0.963249087,0.8572,0.907135633,23.96233257,4.161849977,6.91075,3907.642452,40516,10.3684,plot_11_annotated.las
81,NIBIO,./NIBIO/plot_11_annotated.las,11,tree_83,13.69638663,45.504,86.57909734,13.56,3400,50.0759312,3400,0.95947892,0.84435,0.898240423,49.34431659,8.839700327,13.52105,4483.729138,90965,20.2878,plot_11_annotated.las
82,NIBIO,./NIBIO/plot_11_annotated.las,14,tree_84,10.84274765,38.616,81.60831833,10.8,3400,42.93935409,3400,0.95993019,0.82226,0.885777738,38.3377076,4.953549374,10.8132,3914.432028,70477,18.0044,plot_11_annotated.las
83,NIBIO,./NIBIO/plot_11_annotated.las,15,tree_85,12.88600859,36.344,72.254005,11.44,3400,52.95186225,3400,0.979557387,0.80117,0.881428564,42.11481238,8.663550141,11.9086,5264.967637,85899,16.3152,plot_11_annotated.las
84,NIBIO,./NIBIO/plot_11_annotated.las,16,tree_86,19.34524379,74.824,174.4225983,18.36,3400,114.8568971,3400,0.90357,0.70221,0.79026503,95.18419008,13.0939999,18.6741,3714.475684,100000,26.9217,plot_11_annotated.las
85,NIBIO,./NIBIO/plot_11_annotated.las,17,tree_87,1.856323954,4.08,6.299591333,2.36,3400,2.625399479,3400,0.961303462,0.80817,0.878110507,2.990159982,1.476200037,2.08785,807.3533282,2455,3.0408,plot_11_annotated.las
86,NIBIO,./NIBIO/plot_11_annotated.las,18,tree_88,29.66813214,70.816,243.048664,25.8,3400,155.1348155,3400,0.92229,0.62155,0.742627927,112.5239246,14.39694976,27.29145,2333.858451,100000,42.8475,plot_11_annotated.las
87,NIBIO,./NIBIO/plot_11_annotated.las,19,tree_89,22.84548749,75.752,176.5661263,20.08,3400,134.1741022,3400,0.93485,0.69901,0.799908803,107.6826389,16.92179906,21.8411,2881.753028,100000,34.7011,plot_11_annotated.las
88,NIBIO,./NIBIO/plot_11_annotated.las,21,tree_90,4.092059652,8.384,18.59355967,5.24,3400,6.353356669,3400,0.95272045,0.73219,0.828023099,8.415672499,3.061399796,5.676449999,675.093728,5330,7.895199998,plot_11_annotated.las
89,NIBIO,./NIBIO/plot_11_annotated.las,22,tree_91,4.517766221,8.984,13.73711567,5.32,3400,6.926970263,3400,0.943946188,0.86628,0.903446994,8.197765022,2.736650015,4.99395,814.2931664,6244,7.668,plot_11_annotated.las
90,NIBIO,./NIBIO/plot_11_annotated.las,23,tree_92,5.240171895,16.56,32.56063333,6.76,3400,13.72853296,3400,0.965242082,0.84387,0.900484656,16.48833992,3.563149919,6.7204,2081.711269,20427,9.812599999,plot_11_annotated.las
91,NIBIO,./NIBIO/plot_11_annotated.las,24,tree_93,7.342293189,23.44,40.38141633,7.68,3400,23.16209583,3400,0.957577125,0.86039,0.906385788,26.04917984,4.812950149,7.404500001,2957.084572,31021,10.4904,plot_11_annotated.las
92,NIBIO,./NIBIO/plot_11_annotated.las,26,tree_94,16.17446213,62.12,135.2464205,15.32,3400,89.00736982,3400,0.94636,0.71963,0.817566788,78.88148592,10.04925015,15.8496,4389.815628,100000,22.78,plot_11_annotated.las
